source,label,href,classification,http_status,resolved_url,fragment,suggested_destination,css_class
https://three-stars.webflow.io/,info@threestarscp.com,mailto:info@threestarscp.com,email,,,,,meta link-underline
https://three-stars.webflow.io/,+39 02 3670 5320,tel:+390236705320,phone,,,,,meta link-underline
https://three-stars.webflow.io/,Home,/,internal-ok,200,https://three-stars.webflow.io/,,,nav-brand-link w-inline-block w--current
https://three-stars.webflow.io/,Our Story,/about#our-story,internal-ok,200,https://three-stars.webflow.io/about,our-story,,nav-submenu-link
https://three-stars.webflow.io/,Our Approach,/about#our-approach,internal-ok,200,https://three-stars.webflow.io/about,our-approach,,nav-submenu-link
https://three-stars.webflow.io/,Leadership Team,/about#leadership-team,internal-ok,200,https://three-stars.webflow.io/about,leadership-team,,nav-submenu-link
https://three-stars.webflow.io/,Real Estate Debt Arranging,/services-overview#real-estate-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-debt-arranging,,nav-submenu-link
https://three-stars.webflow.io/,Equity Raising & Liquidity Sourcing,/services-overview#equity-raising-liquidity-sourcing,internal-ok,200,https://three-stars.webflow.io/services-overview,equity-raising-liquidity-sourcing,,nav-submenu-link
https://three-stars.webflow.io/,Debt Restructuring & Workout,/services-overview#debt-restructuring-workout,internal-ok,200,https://three-stars.webflow.io/services-overview,debt-restructuring-workout,,nav-submenu-link
https://three-stars.webflow.io/,Structured Debt Advisory,/services-overview#structured-debt-advisory,internal-ok,200,https://three-stars.webflow.io/services-overview,structured-debt-advisory,,nav-submenu-link
https://three-stars.webflow.io/,Mezzanine Debt Arranging,/services-overview#mezzanine-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,mezzanine-debt-arranging,,nav-submenu-link
https://three-stars.webflow.io/,Real Estate Agency,/services-overview#real-estate-agency,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-agency,,nav-submenu-link
https://three-stars.webflow.io/,Credentials,/credentials,internal-ok,200,https://three-stars.webflow.io/credentials,,,nav-link
https://three-stars.webflow.io/,Coverage and commentary,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary,,nav-submenu-link
https://three-stars.webflow.io/,REACT NEWS Apollo provides €105m financing for luxury hotel's Rome debut JUNE 2022,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary,,nav-featured-card w-inline-block
https://three-stars.webflow.io/,PEI — REAL ESTATE CAPITAL Inside the €330m refinancing of an Italian icon JANUARY 2022,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary,,nav-featured-card w-inline-block
https://three-stars.webflow.io/,Contact,/contact,internal-ok,200,https://three-stars.webflow.io/contact,,,button-link w-inline-block
https://three-stars.webflow.io/,Contact Us,/contact,internal-ok,200,https://three-stars.webflow.io/contact,,,button-link w-inline-block
https://three-stars.webflow.io/,Our Credentials,/contact,wrong-destination,200,https://three-stars.webflow.io/contact,,/credentials,button-link w-variant-1e58eb40-97bd-859d-3c63-827af06dc6ba w-inline-block
https://three-stars.webflow.io/,Read the firm's story,/about,internal-ok,200,https://three-stars.webflow.io/about,,,button-link w-inline-block
https://three-stars.webflow.io/,All Services,/services-overview,internal-ok,200,https://three-stars.webflow.io/services-overview,,,button-link w-variant-1e58eb40-97bd-859d-3c63-827af06dc6ba w-inline-block
https://three-stars.webflow.io/,"01 Real Estate Debt Arranging Senior debt structuring for refinancing and acquisitions, working with banks and debt funds across markets.",#,placeholder,,,,,service-card w-inline-block
https://three-stars.webflow.io/,"02 Equity Raising & Liquidity Sourcing capital from property funds, family offices, mezzanine funds and investment banks.",#,placeholder,,,,,service-card w-inline-block
https://three-stars.webflow.io/,"03 Debt Restructuring Reconciling sponsor objectives with lender requirements on large, complex multi-bank transactions.",#,placeholder,,,,,service-card w-inline-block
https://three-stars.webflow.io/,"04 Structured Debt Advisory CMBS and ABS support — assessing risk position, marketability, and placement of notes.",#,placeholder,,,,,service-card w-inline-block
https://three-stars.webflow.io/,05 Mezzanine Debt Arranging Access to a broad network of mezzanine investors for new and existing transactions.,#,placeholder,,,,,service-card w-inline-block
https://three-stars.webflow.io/,06 Real Estate Agency Portfolio and asset disposal advisory for medium to large transactions.,#,placeholder,,,,,service-card w-inline-block
https://three-stars.webflow.io/,See Credentials,/credentials,internal-ok,200,https://three-stars.webflow.io/credentials,,,button-link w-inline-block
https://three-stars.webflow.io/,Europe,#,action,,,,,toggle-item is-active w-inline-block
https://three-stars.webflow.io/,USA,#,action,,,,,toggle-item w-inline-block
https://three-stars.webflow.io/,All Press,/press-overview,internal-ok,200,https://three-stars.webflow.io/press-overview,,,button-link w-inline-block
https://three-stars.webflow.io/,Apollo provides €105m financing for luxury hotel's Rome debut,https://example.com,example-placeholder,0,https://example.com/,,,press-card-link
https://three-stars.webflow.io/,Inside the €330m refinancing of an Italian icon,https://example.com,example-placeholder,0,https://example.com/,,,press-card-link
https://three-stars.webflow.io/,The return of Italy's debt play,https://example.com,example-placeholder,0,https://example.com/,,,press-card-link
https://three-stars.webflow.io/,Apollo provides €105m financing for luxury hotel's Rome debut,https://example.com,example-placeholder,0,https://example.com/,,,press-card-link
https://three-stars.webflow.io/,Contact Us,/contact,internal-ok,200,https://three-stars.webflow.io/contact,,,button-link w-inline-block
https://three-stars.webflow.io/,Home,/,internal-ok,200,https://three-stars.webflow.io/,,,footer-brand-link w-inline-block w--current
https://three-stars.webflow.io/,About,/about,internal-ok,200,https://three-stars.webflow.io/about,,,body-s link-underline
https://three-stars.webflow.io/,Our Approach,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/,Code of Ethics,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/,Services,/services-overview,internal-ok,200,https://three-stars.webflow.io/services-overview,,,body-s link-underline
https://three-stars.webflow.io/,Track Record,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/,Sectors,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/,Milan Office,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/,New York Office,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/,Press Enquiries,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/,Privacy Policy,/privacy-policy,internal-ok,200,https://three-stars.webflow.io/privacy-policy,,,footer-legal-link link-underline
https://three-stars.webflow.io/,Cookie Policy,/cookie-policy,internal-ok,200,https://three-stars.webflow.io/cookie-policy,,,footer-legal-link link-underline
https://three-stars.webflow.io/,Terms of Use,/terms,internal-ok,200,https://three-stars.webflow.io/terms,,,footer-legal-link link-underline
https://three-stars.webflow.io/,Disclaimer Notice,/disclaimer,internal-ok,200,https://three-stars.webflow.io/disclaimer,,,footer-legal-link link-underline
https://three-stars.webflow.io/,LinkedIn,https://www.linkedin.com/company/three-stars-capital-partners/,external,200,https://www.linkedin.com/company/three-stars-capital-partners/,,,footer-legal-link link-underline
https://three-stars.webflow.io/,Site: Brand Vision,https://www.brandvm.com/,external,200,https://www.brandvm.com/,,,footer-legal-link link-underline
https://three-stars.webflow.io/404,info@threestarscp.com,mailto:info@threestarscp.com,email,,,,,meta link-underline
https://three-stars.webflow.io/404,+39 02 3670 5320,tel:+390236705320,phone,,,,,meta link-underline
https://three-stars.webflow.io/404,Home,/,internal-ok,200,https://three-stars.webflow.io/,,,nav-brand-link w-inline-block
https://three-stars.webflow.io/404,Our Story,/about#our-story,internal-ok,200,https://three-stars.webflow.io/about,our-story,,nav-submenu-link
https://three-stars.webflow.io/404,Our Approach,/about#our-approach,internal-ok,200,https://three-stars.webflow.io/about,our-approach,,nav-submenu-link
https://three-stars.webflow.io/404,Leadership Team,/about#leadership-team,internal-ok,200,https://three-stars.webflow.io/about,leadership-team,,nav-submenu-link
https://three-stars.webflow.io/404,Real Estate Debt Arranging,/services-overview#real-estate-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-debt-arranging,,nav-submenu-link
https://three-stars.webflow.io/404,Equity Raising & Liquidity Sourcing,/services-overview#equity-raising-liquidity-sourcing,internal-ok,200,https://three-stars.webflow.io/services-overview,equity-raising-liquidity-sourcing,,nav-submenu-link
https://three-stars.webflow.io/404,Debt Restructuring & Workout,/services-overview#debt-restructuring-workout,internal-ok,200,https://three-stars.webflow.io/services-overview,debt-restructuring-workout,,nav-submenu-link
https://three-stars.webflow.io/404,Structured Debt Advisory,/services-overview#structured-debt-advisory,internal-ok,200,https://three-stars.webflow.io/services-overview,structured-debt-advisory,,nav-submenu-link
https://three-stars.webflow.io/404,Mezzanine Debt Arranging,/services-overview#mezzanine-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,mezzanine-debt-arranging,,nav-submenu-link
https://three-stars.webflow.io/404,Real Estate Agency,/services-overview#real-estate-agency,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-agency,,nav-submenu-link
https://three-stars.webflow.io/404,Credentials,/credentials,internal-ok,200,https://three-stars.webflow.io/credentials,,,nav-link
https://three-stars.webflow.io/404,Coverage and commentary,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary,,nav-submenu-link
https://three-stars.webflow.io/404,REACT NEWS Apollo provides €105m financing for luxury hotel's Rome debut JUNE 2022,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary,,nav-featured-card w-inline-block
https://three-stars.webflow.io/404,PEI — REAL ESTATE CAPITAL Inside the €330m refinancing of an Italian icon JANUARY 2022,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary,,nav-featured-card w-inline-block
https://three-stars.webflow.io/404,Contact,/contact,internal-ok,200,https://three-stars.webflow.io/contact,,,button-link w-inline-block
https://three-stars.webflow.io/404,Back to Home,/,internal-ok,200,https://three-stars.webflow.io/,,,button-link w-inline-block
https://three-stars.webflow.io/404,Contact Us,/contact,internal-ok,200,https://three-stars.webflow.io/contact,,,button-link w-variant-1e58eb40-97bd-859d-3c63-827af06dc6ba w-inline-block
https://three-stars.webflow.io/404,Home,/,internal-ok,200,https://three-stars.webflow.io/,,,footer-brand-link w-inline-block
https://three-stars.webflow.io/404,About,/about,internal-ok,200,https://three-stars.webflow.io/about,,,body-s link-underline
https://three-stars.webflow.io/404,Our Approach,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/404,Code of Ethics,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/404,Services,/services-overview,internal-ok,200,https://three-stars.webflow.io/services-overview,,,body-s link-underline
https://three-stars.webflow.io/404,Track Record,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/404,Sectors,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/404,Milan Office,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/404,New York Office,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/404,Press Enquiries,#,placeholder,,,,,body-s link-underline
https://three-stars.webflow.io/404,Privacy Policy,/privacy-policy,internal-ok,200,https://three-stars.webflow.io/privacy-policy,,,footer-legal-link link-underline
https://three-stars.webflow.io/404,Cookie Policy,/cookie-policy,internal-ok,200,https://three-stars.webflow.io/cookie-policy,,,footer-legal-link link-underline
