source,label,href,classification,http_status,target,fragment
https://three-stars.webflow.io/,info@threestarscp.com,mailto:info@threestarscp.com,email,,,
https://three-stars.webflow.io/,+39 02 3670 5320,tel:+390236705320,phone,,,
https://three-stars.webflow.io/,Home,/,internal-ok,200,https://three-stars.webflow.io/,
https://three-stars.webflow.io/,Our Story,/about#our-story,internal-ok,200,https://three-stars.webflow.io/about,our-story
https://three-stars.webflow.io/,Our Approach,/about#our-approach,internal-ok,200,https://three-stars.webflow.io/about,our-approach
https://three-stars.webflow.io/,Leadership Team,/about#leadership-team,internal-ok,200,https://three-stars.webflow.io/about,leadership-team
https://three-stars.webflow.io/,Real Estate Debt Arranging,/services-overview#real-estate-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-debt-arranging
https://three-stars.webflow.io/,Equity Raising & Liquidity Sourcing,/services-overview#equity-raising-liquidity-sourcing,internal-ok,200,https://three-stars.webflow.io/services-overview,equity-raising-liquidity-sourcing
https://three-stars.webflow.io/,Debt Restructuring & Workout,/services-overview#debt-restructuring-workout,internal-ok,200,https://three-stars.webflow.io/services-overview,debt-restructuring-workout
https://three-stars.webflow.io/,Structured Debt Advisory,/services-overview#structured-debt-advisory,internal-ok,200,https://three-stars.webflow.io/services-overview,structured-debt-advisory
https://three-stars.webflow.io/,Mezzanine Debt Arranging,/services-overview#mezzanine-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,mezzanine-debt-arranging
https://three-stars.webflow.io/,Real Estate Agency,/services-overview#real-estate-agency,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-agency
https://three-stars.webflow.io/,Credentials,/credentials,internal-ok,200,https://three-stars.webflow.io/credentials,
https://three-stars.webflow.io/,Coverage and commentary,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary
https://three-stars.webflow.io/,REACT NEWS Apollo provides €105m financing for luxury hotel's Rome debut JUNE 2022,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary
https://three-stars.webflow.io/,PEI — REAL ESTATE CAPITAL Inside the €330m refinancing of an Italian icon JANUARY 2022,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary
https://three-stars.webflow.io/,Contact,/contact,internal-ok,200,https://three-stars.webflow.io/contact,
https://three-stars.webflow.io/,Contact Us,/contact,internal-ok,200,https://three-stars.webflow.io/contact,
https://three-stars.webflow.io/,Our Credentials,/credentials,internal-ok,200,https://three-stars.webflow.io/credentials,
https://three-stars.webflow.io/,Read the firm's story,/about,internal-ok,200,https://three-stars.webflow.io/about,
https://three-stars.webflow.io/,All Services,/services-overview,internal-ok,200,https://three-stars.webflow.io/services-overview,
https://three-stars.webflow.io/,"01 Real Estate Debt Arranging Senior debt structuring for refinancing and acquisitions, working with banks and debt funds across markets.",/services-overview#real-estate-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-debt-arranging
https://three-stars.webflow.io/,"02 Equity Raising & Liquidity Sourcing capital from property funds, family offices, mezzanine funds and investment banks.",/services-overview#equity-raising-liquidity-sourcing,internal-ok,200,https://three-stars.webflow.io/services-overview,equity-raising-liquidity-sourcing
https://three-stars.webflow.io/,"03 Debt Restructuring Reconciling sponsor objectives with lender requirements on large, complex multi-bank transactions.",/services-overview#debt-restructuring-workout,internal-ok,200,https://three-stars.webflow.io/services-overview,debt-restructuring-workout
https://three-stars.webflow.io/,"04 Structured Debt Advisory CMBS and ABS support — assessing risk position, marketability, and placement of notes.",/services-overview#structured-debt-advisory,internal-ok,200,https://three-stars.webflow.io/services-overview,structured-debt-advisory
https://three-stars.webflow.io/,05 Mezzanine Debt Arranging Access to a broad network of mezzanine investors for new and existing transactions.,/services-overview#mezzanine-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,mezzanine-debt-arranging
https://three-stars.webflow.io/,06 Real Estate Agency Portfolio and asset disposal advisory for medium to large transactions.,/services-overview#real-estate-agency,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-agency
https://three-stars.webflow.io/,See Credentials,/credentials,internal-ok,200,https://three-stars.webflow.io/credentials,
https://three-stars.webflow.io/,Europe,#,action,,,
https://three-stars.webflow.io/,USA,#,action,,,
https://three-stars.webflow.io/,All Press,/press-overview,internal-ok,200,https://three-stars.webflow.io/press-overview,
https://three-stars.webflow.io/,Apollo provides €105m financing for luxury hotel's Rome debut,https://static.wixstatic.com/ugd/c782c9_41dc9370ca8c4557a9e09d73f8b8ff76.pdf,external,200,https://static.wixstatic.com/ugd/c782c9_41dc9370ca8c4557a9e09d73f8b8ff76.pdf,
https://three-stars.webflow.io/,Inside the €330m refinancing of an Italian icon,https://static.wixstatic.com/ugd/c782c9_1bc4a233b0cc4fd0b7f2ac2e388ec8a7.pdf,external,200,https://static.wixstatic.com/ugd/c782c9_1bc4a233b0cc4fd0b7f2ac2e388ec8a7.pdf,
https://three-stars.webflow.io/,The return of Italy's debt play,https://static.wixstatic.com/ugd/c782c9_9db82d8f79184fd7ac80ab5795d39bd6.pdf,external,200,https://static.wixstatic.com/ugd/c782c9_9db82d8f79184fd7ac80ab5795d39bd6.pdf,
https://three-stars.webflow.io/,Apollo provides €105m financing for luxury hotel's Rome debut,https://static.wixstatic.com/ugd/c782c9_41dc9370ca8c4557a9e09d73f8b8ff76.pdf,external,200,https://static.wixstatic.com/ugd/c782c9_41dc9370ca8c4557a9e09d73f8b8ff76.pdf,
https://three-stars.webflow.io/,Contact Us,/contact,internal-ok,200,https://three-stars.webflow.io/contact,
https://three-stars.webflow.io/,Home,/,internal-ok,200,https://three-stars.webflow.io/,
https://three-stars.webflow.io/,About,/about,internal-ok,200,https://three-stars.webflow.io/about,
https://three-stars.webflow.io/,Our Approach,/about#our-approach,internal-ok,200,https://three-stars.webflow.io/about,our-approach
https://three-stars.webflow.io/,Code of Ethics,https://cdn.prod.website-files.com/6a97103d40ea05346a443224/6a9b1f6c24661449181079e1_Codice%20Etico%20TSCP.pdf,external,200,https://cdn.prod.website-files.com/6a97103d40ea05346a443224/6a9b1f6c24661449181079e1_Codice%20Etico%20TSCP.pdf,
https://three-stars.webflow.io/,Services,/services-overview,internal-ok,200,https://three-stars.webflow.io/services-overview,
https://three-stars.webflow.io/,Track Record,/credentials,internal-ok,200,https://three-stars.webflow.io/credentials,
https://three-stars.webflow.io/,Sectors,/credentials#sectors,internal-ok,200,https://three-stars.webflow.io/credentials,sectors
https://three-stars.webflow.io/,Milan Office,/contact#milan-office,internal-ok,200,https://three-stars.webflow.io/contact,milan-office
https://three-stars.webflow.io/,New York Office,/contact#new-york-office,internal-ok,200,https://three-stars.webflow.io/contact,new-york-office
https://three-stars.webflow.io/,Press Enquiries,/contact#contact-form,internal-ok,200,https://three-stars.webflow.io/contact,contact-form
https://three-stars.webflow.io/,Privacy Policy,/privacy-policy,internal-ok,200,https://three-stars.webflow.io/privacy-policy,
https://three-stars.webflow.io/,Cookie Policy,/cookie-policy,internal-ok,200,https://three-stars.webflow.io/cookie-policy,
https://three-stars.webflow.io/,Terms of Use,/terms,internal-ok,200,https://three-stars.webflow.io/terms,
https://three-stars.webflow.io/,Disclaimer Notice,/disclaimer,internal-ok,200,https://three-stars.webflow.io/disclaimer,
https://three-stars.webflow.io/,LinkedIn,https://www.linkedin.com/company/three-stars-capital-partners/,external,200,https://www.linkedin.com/company/three-stars-capital-partners/,
https://three-stars.webflow.io/,Site: Brand Vision,https://www.brandvm.com/,external,200,https://www.brandvm.com/,
https://three-stars.webflow.io/404,info@threestarscp.com,mailto:info@threestarscp.com,email,,,
https://three-stars.webflow.io/404,+39 02 3670 5320,tel:+390236705320,phone,,,
https://three-stars.webflow.io/404,Home,/,internal-ok,200,https://three-stars.webflow.io/,
https://three-stars.webflow.io/404,Our Story,/about#our-story,internal-ok,200,https://three-stars.webflow.io/about,our-story
https://three-stars.webflow.io/404,Our Approach,/about#our-approach,internal-ok,200,https://three-stars.webflow.io/about,our-approach
https://three-stars.webflow.io/404,Leadership Team,/about#leadership-team,internal-ok,200,https://three-stars.webflow.io/about,leadership-team
https://three-stars.webflow.io/404,Real Estate Debt Arranging,/services-overview#real-estate-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-debt-arranging
https://three-stars.webflow.io/404,Equity Raising & Liquidity Sourcing,/services-overview#equity-raising-liquidity-sourcing,internal-ok,200,https://three-stars.webflow.io/services-overview,equity-raising-liquidity-sourcing
https://three-stars.webflow.io/404,Debt Restructuring & Workout,/services-overview#debt-restructuring-workout,internal-ok,200,https://three-stars.webflow.io/services-overview,debt-restructuring-workout
https://three-stars.webflow.io/404,Structured Debt Advisory,/services-overview#structured-debt-advisory,internal-ok,200,https://three-stars.webflow.io/services-overview,structured-debt-advisory
https://three-stars.webflow.io/404,Mezzanine Debt Arranging,/services-overview#mezzanine-debt-arranging,internal-ok,200,https://three-stars.webflow.io/services-overview,mezzanine-debt-arranging
https://three-stars.webflow.io/404,Real Estate Agency,/services-overview#real-estate-agency,internal-ok,200,https://three-stars.webflow.io/services-overview,real-estate-agency
https://three-stars.webflow.io/404,Credentials,/credentials,internal-ok,200,https://three-stars.webflow.io/credentials,
https://three-stars.webflow.io/404,Coverage and commentary,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary
https://three-stars.webflow.io/404,REACT NEWS Apollo provides €105m financing for luxury hotel's Rome debut JUNE 2022,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary
https://three-stars.webflow.io/404,PEI — REAL ESTATE CAPITAL Inside the €330m refinancing of an Italian icon JANUARY 2022,/press-overview#coverage-and-commentary,internal-ok,200,https://three-stars.webflow.io/press-overview,coverage-and-commentary
https://three-stars.webflow.io/404,Contact,/contact,internal-ok,200,https://three-stars.webflow.io/contact,
https://three-stars.webflow.io/404,Back to Home,/,internal-ok,200,https://three-stars.webflow.io/,
https://three-stars.webflow.io/404,Contact Us,/contact,internal-ok,200,https://three-stars.webflow.io/contact,
https://three-stars.webflow.io/404,Home,/,internal-ok,200,https://three-stars.webflow.io/,
https://three-stars.webflow.io/404,About,/about,internal-ok,200,https://three-stars.webflow.io/about,
https://three-stars.webflow.io/404,Our Approach,/about#our-approach,internal-ok,200,https://three-stars.webflow.io/about,our-approach
https://three-stars.webflow.io/404,Code of Ethics,https://cdn.prod.website-files.com/6a97103d40ea05346a443224/6a9b1f6c24661449181079e1_Codice%20Etico%20TSCP.pdf,external,200,https://cdn.prod.website-files.com/6a97103d40ea05346a443224/6a9b1f6c24661449181079e1_Codice%20Etico%20TSCP.pdf,
https://three-stars.webflow.io/404,Services,/services-overview,internal-ok,200,https://three-stars.webflow.io/services-overview,
https://three-stars.webflow.io/404,Track Record,/credentials,internal-ok,200,https://three-stars.webflow.io/credentials,
https://three-stars.webflow.io/404,Sectors,/credentials#sectors,internal-ok,200,https://three-stars.webflow.io/credentials,sectors
https://three-stars.webflow.io/404,Milan Office,/contact#milan-office,internal-ok,200,https://three-stars.webflow.io/contact,milan-office
https://three-stars.webflow.io/404,New York Office,/contact#new-york-office,internal-ok,200,https://three-stars.webflow.io/contact,new-york-office
https://three-stars.webflow.io/404,Press Enquiries,/contact#contact-form,internal-ok,200,https://three-stars.webflow.io/contact,contact-form
https://three-stars.webflow.io/404,Privacy Policy,/privacy-policy,internal-ok,200,https://three-stars.webflow.io/privacy-policy,
https://three-stars.webflow.io/404,Cookie Policy,/cookie-policy,internal-ok,200,https://three-stars.webflow.io/cookie-policy,
https://three-stars.webflow.io/404,Terms of Use,/terms,internal-ok,200,https://three-stars.webflow.io/terms,
